sample_index,theta1,theta2,theta3,theta4,theta5,theta6,position_error_norm,rotation_error_norm,jacobian_error_norm
123,-0.6564201814957955,-1.5168149540202156,0.006642830699202129,-2.4051636998080754,2.674570147596722,-1.5661281837126084,1.9078803932353506e-16,8.881784197001252e-16,3.681374749865799e-16
124,0.05063760603982548,-1.327294783081259,1.3323766440425513,-0.4257724750920122,2.4198015263324115,1.0713796375149631,3.72961513072553e-16,1.2098374922832816e-15,7.141609341902396e-16
125,-1.4858390308254497,-1.7615248534839025,0.9699314121133309,-0.12484691658339608,2.11810090874232,-0.8532859710448595,3.48951172420846e-16,1.492104224145098e-15,7.366578609826298e-16
126,-1.0494383992598268,-0.18099999426820856,0.1942771593878323,-0.24322844751468953,2.205829928950011,-1.0975744037095314,1.7772239894833365e-16,1.1541114112329936e-15,4.107580597344395e-16
127,-2.8062810759660124,-2.2406660337398203,3.6752927741227315,-3.042589352709035,0.5837981219151906,-1.471769769488836,3.2398021848425308e-16,1.2866737660321158e-15,4.465596056141796e-16
128,-2.4140973011143396,-0.9876118547664297,0.9665556349563431,0.42911471267019596,1.8296056865749912,1.0972269459019064,2.9893669801409083e-16,1.3836091806290215e-15,7.514035447058809e-16
129,-3.0706033639463817,-0.3812394057098465,2.476476345707896,-2.090990386149263,2.3961059032193806,1.1162434412224391,3.8079057230135325e-16,1.6088809755556981e-15,5.965179065365687e-16
130,-1.5235664007242247,-0.2111364296530298,1.8178297211946313,0.6412316168665932,3.0524135542146955,-0.4347767130729141,2.5648108051662706e-16,1.2190354978790368e-15,4.131318803560775e-16
131,1.9415879440847,-1.772162293646005,3.196854088965964,0.6245502969483834,0.6707026551987445,-0.2699580655017977,3.5652682413747997e-16,1.5275656190879576e-15,6.975794187196184e-16
132,-1.1306590669459176,-2.396918177991054,0.11933908039878993,-0.9518323364754782,0.0590058582342084,-1.0503684411932266,9.813077866773594e-17,1.4161464793906132e-15,2.861820589853026e-16
133,1.3961365892753865,-0.7589627872226714,2.9543215458295307,-1.1336503389941317,2.759060317064856,0.2946279208093254,5.268078444615273e-16,1.3791477125662915e-15,9.665943964293945e-16
134,-2.318636681170916,-2.2263314802156113,2.772381707718806,-2.0277475940591163,1.5726073749043343,1.5441718544161518,2.830524433501838e-16,9.42055475210265e-16,5.78623249825387e-16
135,-3.075152850653295,-2.556892515066352,3.972338327722026,0.5247607716318261,0.3934209241073907,1.247528907227854,3.28481696802569e-16,1.4432899320127035e-15,5.704492819320383e-16
136,2.3583578607916915,-1.2058789259104243,2.487168119443026,-1.4062394126945668,0.156611058753216,0.29694229191731414,3.06884301130794e-16,1.3325567187647329e-15,4.961339468534473e-16
